GapID,النطاق,البند,الحالة المصنَّفة,التنفيذ الفعليّ المقيس,الدليل,الأثر على العمل,يزول بإشعال العلم وحده؟
GAP-360-01,Employee 360,(1) البيانات الأساسيّة,Hidden by feature flag,"Employee360IdentityDto (Models:51-55): FullName, Email, IsActive, JoinedAtUtc — مبنيّ بالكامل",code-evidence [5] + Models.cs:51-55,لا يُرى أيّ شيء على الإنتاج,نعم
GAP-360-02,Employee 360,(2) المسمّى الوظيفيّ,Hidden by feature flag,Employee360IdentityDto.JobRoleName — مبنيّ,Models.cs:52,محجوب,نعم
GAP-360-03,Employee 360,(3) الإدارة والفريق,Hidden by feature flag,Employee360IdentityDto.TeamName + DepartmentName — مبنيّ,Models.cs:53,محجوب,نعم
GAP-360-04,Employee 360,(4) المدير المباشر,Hidden by feature flag,Employee360IdentityDto.DirectManagerName — مبنيّ فعلًا (خلافًا لما قد يُظنّ),Models.cs:53 + Service.cs:168-171,محجوب,نعم
GAP-360-05,Employee 360,(5) حالة الموظّف,Hidden by feature flag,Employee360IdentityDto.IsActive — مبنيّ,Models.cs:54,محجوب,نعم
GAP-360-06,Employee 360,(6) KPI الحاليّ والتاريخيّ,Hidden by feature flag,قسم Kpi كامل: KpiSummaryDto + KpiWindowDto + قائمة تقييمات,Service.cs:91 + Models.cs:69-93,"محجوب — ومع ذلك النافذة أسبوعيّة لا ربعيّة (انظر GAP-KPI-01)",نعم للعرض · لا لمشكلة الربع
GAP-360-07,Employee 360,(7) التقارير الدوريّة,Hidden by feature flag,قسم Reports مبنيّ,Service.cs:90 + :262,محجوب,نعم
GAP-360-08,Employee 360,(8) الحضور والالتزام,Hidden by feature flag,مبنيّ لكن باعتماد متشعّب,Service.cs:483-489,"محجوب مرّتين: بعلم Employee360 وبعلم Attendance معًا",لا — يلزم إشعال العلمين معًا
GAP-360-09,Employee 360,(9) بلاغات ووقائع الحضور,Hidden by feature flag + Missing data,Employee360AttendanceIncidentDto مبنيّ · وقاعدة الإنتاج فيها 0 واقعة,Models.cs:113-116 + production-database-readonly.txt,"محجوب؛ وبعد الإشعال سيَظهر فارغًا حتّى تُسجَّل وقائع",نعم للعرض · تبقى الحالة الفارغة
GAP-360-10,Employee 360,(10) الإجازات,Hidden by feature flag,قسم LeaveAndPermissions مبنيّ,Service.cs:92 + Models.cs:97-101,محجوب,نعم
