RCID,المشكلة المُبلَّغة,السبب الجذريّ المُثبَت,التصنيف المعتمد,الدليل القاطع,حالة الإثبات,الدليل الناقص إن لم يُثبَت,يزول بقرار تشغيل أم يحتاج بناء؟
RC-01,«تعذّر تحميل الملف» في /app/employee/me,"Phase2__Employee360Enabled غائب عن /etc/reporting-api.env وعن /opt/reporting/publish/appsettings.json (ملفّ الإعداد الوحيد)، والخاصّيّة bool بلا مُهيّئ في Phase2FeatureOptions.cs:15 ⇒ false ⇒ EmployeesController.cs:59 يردّ 404؛ و/app/employee/me لا يعرض إلّا Employee360Panel (EmployeeProfilePage.tsx:53,59,75)",DEPLOYMENT_CONFIGURATION_GAP (الأثر) + WRONG_ACCEPTANCE_CRITERIA (السبب — انظر RC-22: الإطفاء موثَّق ومقصود لا سهوًا),phase2-flags-three-environments.txt + code-evidence [1][2][6] + Ops/P3-…:459;468 + Ops/P2-…:417-420,مُثبَت,—,قرار تشغيل (إشعال العلم — خطوة كانت مؤجَّلة صراحةً إلى «المرحلة الثالثة» ولم تُنفَّذ)
RC-02,رسالة «خطأ مؤقّت. أعد المحاولة» على خطأ دائم,"Employee360Panel.tsx:432 retry:false ثمّ :444-450 رسالة موحّدة لا تفرّق بين 404 و403 وخطأ شبكة عابر — فتَعِد بنجاح مستحيل لأنّ 404 العلم دائم",UX_WORKFLOW_DEFECT,code-evidence [7],مُثبَت,—,بناء (R1)
RC-03,لا رحلة عمليّة لتصفّح ملفّات الموظّفين,"لا نقطة نهاية قائمة أصلًا: /api/employees ⇒ 404 وEmployeesController فيه 4 HttpGet كلّها {userId:guid} أو me؛ والرابط البديل محكوم بـroles: HR_EMPLOYEE فلا يراه Manager ولا TeamLeader",MISSING_IMPLEMENTATION,production-http-anonymous-probes.txt + code-evidence [3] + navConfig.ts:161-164,مُثبَت (وموثَّق ذاتيًّا في الكود),—,بناء (R2)
RC-04,Employee 360 غير مكتمل,"السطح كلّه محجوب بالعلم (RC-01)؛ ونطاقًا: 11 قسمًا منفَّذًا يغطّي 16 من 19 بندًا مطلوبًا، وبندان ناقصان (الإجراءات التي تتطلّب متابعة كقسم مستقلّ · إبلاغ المستخدم بالأقسام المحجوبة) وبند غير منفَّذ (الأدلّة والمرفقات)",DEPLOYMENT_CONFIGURATION_GAP + PARTIAL_IMPLEMENTATION,code-evidence [5] + P123-FUNCTIONAL-GAP-REGISTER.csv,مُثبَت,—,قرار تشغيل للحجب + بناء للنقص
RC-05,«أقسام تعمل ثمّ خطأ في نهاية الصفحة»,"مصدران على صفحة واحدة: الأقسام الظاهرة من /api/dashboard/employee-profile (DashboardController.cs:40-42 — بلا حارس علم) والخطأ من Employee360Panel في EmployeeProfilePage.tsx:372 (404)",PRODUCT_DEFECT (تكوين واجهة) + DEPLOYMENT_CONFIGURATION_GAP,code-evidence [6],مُثبَت,—,قرار تشغيل + بناء (R1)
RC-06,قسم «الحضور والالتزام» فارغ داخل ملفّ الموظّف حتّى بعد إشعال Employee360,"اعتماد متشعّب: Employee360Service.cs:483-489 يردّ NoData/Unavailable إذا كان AttendanceEnabled مطفأً بصرف النظر عن Employee360Enabled",DEPLOYMENT_CONFIGURATION_GAP,code-evidence [5],مُثبَت,—,قرار تشغيل (إشعال العلمين معًا)
RC-07,/app/attendance عالقة في التحميل — وصول السطح,"Phase2__AttendanceEnabled غائب ⇒ false ⇒ 17 حارس if (Disabled) return NotFound() في AttendanceController",DEPLOYMENT_CONFIGURATION_GAP,phase2-flags-three-environments.txt + code-evidence [2],مُثبَت,—,قرار تشغيل
RC-08,ظهور «الحضور والالتزام» في القائمة لمن ينكره الخادم,"navConfig.ts:166 بلا roles وبلا permissionsAny؛ والسبب البنيويّ أنّ الواجهة عمياء عن الأعلام: صفر إشارة في reporting-frontend/src ولا نقطة نهاية /api/feature-flags (404) ⇒ الاتّساق مستحيل بالبناء الحاليّ",FEATURE_FLAG_INCONSISTENCY,code-evidence [4] + production-http-anonymous-probes.txt + attendance-loading-analysis.txt [هـ],مُثبَت,—,بناء (R1 — مصدر حقيقة للأعلام)
RC-09,ديمومة هيكل التحميل بلا نهاية,"غير مُثبَت. الكود يقتضي انتقالًا إلى بطاقة خطأ خلال ≈7ث: main.tsx:10 new QueryClient() (retry:3 بتراجع 1+2+4ث) · useAttendance.ts:37-43 بلا enabled ولا retry مخصّص ولا timeout · api.ts يعترض 401 فقط · AttendancePage.tsx:547 يعرض QueryError عند isError",ROOT_CAUSE_NOT_PROVEN,attendance-loading-analysis.txt [أ][ب][ج][و],غير مُثبَت,"HAR مصادَق عليه من الإنتاج + سجلّ وحدة تحكّم لجلسة مستخدم حقيقيّ — تعذّرا بسبب BLOCKED_BY_PRODUCTION_SAFETY (تسجيل الدخول يكتب صفوف تدقيق)","لا ينطبق — حكم الرحلة FAIL قائم بلا هذا الدليل لأنّ خلوّ القاعدة (0 واقعة) كان يجب أن يُنتِج «لا توجد وقائع»"
RC-10,«لا توجد وقائع» لا تظهر رغم خلوّ القاعدة,"الحالة الفارغة مبنيّة فعلًا (AttendancePage.tsx:550-552) لكنّها لا تُبلَغ لأنّ النداء لا ينجح أبدًا (404)",DEPLOYMENT_CONFIGURATION_GAP,attendance-loading-analysis.txt [ج] + production-database-readonly.txt,مُثبَت,—,قرار تشغيل
