PermissionKey,BusinessCapability,DefaultOwner,Scope,GrantSource,CanDelegate,AuditEvent,EnforcementPoint
HrOperations.View,رؤية لوحة عمليّات الموارد البشريّة وطوابير الإجراءات,لا أحد — deny-by-default (لا يكتسبها أيّ دور ولا Admin),نطاق تنظيميّ يحدّده ScopeResolver لا المفتاح؛ المفتاح يفتح السطح والنطاق يقصّ الصفوف,"PUT /api/directory/users/{id}/permissions — سلطة Policies.UserManagement (Admin, CEO)",لا (لا يوجد تفويض متعدٍّ: المانح الوحيد هو حامل UserManagement),user.permissions.changed,Program.cs:146-147 RequireClaim + HrOperationsController [Authorize(Policies.HrOperationsView)]
HrOperations.Export,تصدير لوحة/طوابير عمليّات الموارد البشريّة,لا أحد — deny-by-default,نفس نطاق الرؤية؛ ومستقلّة عنها تمامًا (الرؤية لا تعني التصدير),"PUT /api/directory/users/{id}/permissions — Policies.UserManagement",لا,user.permissions.changed,Program.cs:149-150 RequireClaim + HrOperationsController [Authorize(Policies.HrOperationsExport)]
Attendance.Report,تسجيل بلاغ واقعة حضور,لا أحد صراحةً — لكنّ TeamLeader/Manager يملكان القدرة ضمنًا داخل نطاقهما بقرار سياسة مستقلّ,داخل النطاق الإداريّ للمُبلِّغ (SubjectRelation)؛ لا يشمل نفسه كمراجِع,"PUT /api/directory/users/{id}/permissions — Policies.UserManagement",لا,user.permissions.changed,Program.cs:152-155 RequireAssertion (دور TeamLeader/Manager أو المفتاح) + AttendanceAccess.cs:26
Attendance.Review,مراجعة واقعة الحضور (تأكيد/رفض/تصحيح/مصالحة/إلغاء),لا أحد — deny-by-default,لا يجوز أن يراجع الشخص واقعته؛ الفصل مفروض في AttendanceAccess لا بالمفتاح,"PUT /api/directory/users/{id}/permissions — Policies.UserManagement",لا,user.permissions.changed,Program.cs:156-157 RequireClaim + AttendanceAccess.cs:37 + AttendanceService.cs:768/786
Attendance.Export,تصدير وقائع الحضور,لا أحد — deny-by-default,نطاق العرض نفسه؛ مستقلّة عن الرؤية والمراجعة,"PUT /api/directory/users/{id}/permissions — Policies.UserManagement",لا,user.permissions.changed,Program.cs:158-159 RequireClaim + AttendanceAccess.cs:45
Attendance.Escalate,تصعيد واقعة حضور إلى الحوكمة,لا أحد — deny-by-default,نطاق الواقعة نفسها,"PUT /api/directory/users/{id}/permissions — Policies.UserManagement",لا,user.permissions.changed,AttendanceAccess.cs:41 + AttendanceService.cs:769
EmployeeChecklist.Manage,تحرير البنود اليدويّة في قائمة التزام الموظّف,لا أحد — deny-by-default,قائمة الموظّف داخل النطاق؛ قراءة القائمة لا تُخوِّل إغلاق بنودها,"PUT /api/directory/users/{id}/permissions — Policies.UserManagement",لا,user.permissions.changed,Program.cs:162-163 RequireClaim
Sensitivity.HrOnly.Read,قراءة الحقول المصنّفة HrOnly (سبب إجازة حسّاس/ملاحظات HR),لا أحد — deny-by-default,حقول لا صفوف: يقصّ الحقل داخل استجابة مسموحة أصلًا,"PUT /api/directory/users/{id}/permissions — Policies.UserManagement",لا,user.permissions.changed,FieldVisibilityRules.cs:63
Sensitivity.ManagementConfidential.Read,قراءة الحقول المصنّفة ManagementConfidential,لا أحد — deny-by-default,حقول لا صفوف,"PUT /api/directory/users/{id}/permissions — Policies.UserManagement",لا,user.permissions.changed,FieldVisibilityRules.cs:64 + HrOperationsService.cs:549
Sensitivity.Financial.Read,قراءة الحقول المصنّفة FinancialSensitive,لا أحد — deny-by-default,حقول لا صفوف,"PUT /api/directory/users/{id}/permissions — Policies.UserManagement",لا,user.permissions.changed,FieldVisibilityRules.cs:65
Sensitivity.Medical.Read,قراءة الحقول المصنّفة MedicalSensitive,لا أحد — deny-by-default,حقول لا صفوف,"PUT /api/directory/users/{id}/permissions — Policies.UserManagement",لا,user.permissions.changed,FieldVisibilityRules.cs:66
