SID,الفاعل,الدور,النطاق,الإجراء,المتوقَّع تجاريًّا,الفعليّ المقيس,دليل الشبكة,دليل وحدة التحكّم,دليل الخادم,دليل البيانات (قراءة فقط),لقطة,الحكم
S-01,مجهول,—,عامّ,GET /health,الخدمة حيّة,HTTP 200 في 1.7 مللي ثانية,production-http-anonymous-probes.txt,لا ينطبق,systemctl active/running · NRestarts=0 · MainPID=1603719,لا ينطبق,لا لقطة (لا واجهة),PASS
S-02,مجهول,—,عامّ,GET /api/attendance,401 (سطح قائم محميّ),HTTP 401,production-http-anonymous-probes.txt,لا ينطبق,لا خطأ في السجلّ,لا ينطبق,—,PASS (وجود السطح مُثبَت)
S-03,مجهول,—,عامّ,GET /api/employees,قائمة موظّفين محكومة بالنطاق,HTTP 404 — لا نقطة نهاية إطلاقًا,production-http-anonymous-probes.txt,لا ينطبق,لا مسار مطابق,EmployeesController فيه 4 HttpGet كلّها {userId:guid} أو me,—,FAIL — MISSING_IMPLEMENTATION
S-04,مجهول,—,عامّ,GET /api/feature-flags و /api/features,وسيلة للواجهة لمعرفة حالة المفاتيح,HTTP 404 لكليهما,production-http-anonymous-probes.txt,لا ينطبق,لا مسار مطابق,صفر إشارة أعلام في reporting-frontend/src,—,FAIL — يفسّر استحالة اتّساق القائمة
S-05,مجهول,—,عامّ,GET /api/directory/users,سطح بحث عن الموظّفين,HTTP 401 — موجود ومحميّ,production-http-anonymous-probes.txt,لا ينطبق,—,4 إدارات · 9 فرق · 33 مستخدمًا نشطًا,—,PASS (المكوّن جاهز · غير مستهلَك)
S-06,مجهول,—,عامّ,GET /api/kpi-evaluations/aggregate,دالّة تجميع قائمة,HTTP 401 — موجودة ومحميّة,production-http-anonymous-probes.txt,لا ينطبق,GetAggregateAsync موجودة في KpiEvaluationService.cs:656-776,—,—,PASS (موجودة · غير مستدعاة من التصدير الماليّ)
S-07,موظّف,Employee,ذاته,فتح /app/employee/me,ملفّه الشخصيّ كاملًا,عنوان «ملفّي» + بطاقة خطأ وحيدة «تعذّر تحميل الملفّ الشامل»,"غير مُلتقَط (يلزم مصادقة) — الاستنتاج من العقد: 404 بحارس EmployeesController.cs:59",BLOCKED_BY_PRODUCTION_SAFETY,Phase2__Employee360Enabled غائب ⇒ false,لا بيانات مطلوبة لإثبات الحجب,BLOCKED,FAIL (مُثبَت بالعقد والإعداد) — تعذّرت إعادة الإنتاج المصادَق عليها
S-08,مدير,Manager,إدارته,فتح /app/employee/{userId},ملفّ الموظّف كاملًا,"أقسام قديمة تعمل (ملخّص الأداء/التقارير/KPI/الحوكمة/الإجازات/الخطّ الزمنيّ) ثمّ بطاقة خطأ في الذيل",غير مُلتقَط — يلزم مصادقة,BLOCKED_BY_PRODUCTION_SAFETY,DashboardController.cs:40-42 بلا حارس · EmployeesController.cs:45 بحارس,بيانات حقيقيّة موجودة (77 تقييمًا · 33 مستخدمًا),BLOCKED,FAIL — تنفيذ جزئيّ مُثبَت بتكوين الصفحة
S-09,قائد فريق,TeamLeader,فريقه,البحث عن دليل موظّفيه في القائمة الجانبيّة,رابط دليل موظّفين ظاهر,الرابط غير ظاهر — navConfig.ts:164 roles: HR_EMPLOYEE,لا ينطبق (لا نداء يقع أصلًا),BLOCKED_BY_PRODUCTION_SAFETY,لا نقطة نهاية دليل,5 قادة فرق حقيقيّين على الإنتاج,BLOCKED,FAIL — MISSING_IMPLEMENTATION + بوّابة أدوار تستثني الجمهور المستهدَف
S-10,قائد فريق,TeamLeader,فريقه,البحث عن موظّف بالاسم,نتائج مصفّاة بالنطاق,لا سطح بحث,لا ينطبق,BLOCKED_BY_PRODUCTION_SAFETY,—,—,BLOCKED,FAIL
S-11,قائد فريق,TeamLeader,فريقه,فتح ملفّ موظّف بنقرة بلا معرفة GUID,فتح مباشر,غير ممكن — لا نقطة دخول إلّا كتابة العنوان يدويًّا,لا ينطبق,BLOCKED_BY_PRODUCTION_SAFETY,—,—,BLOCKED,FAIL
S-12,أيّ مستخدم,كلّ الأدوار,عامّ,رؤية «الحضور والالتزام» في القائمة,يظهر لمن يملك الصلاحيّة فقط,يظهر لكلّ مصادَق عليه — navConfig.ts:166 بلا roles وبلا permissionsAny,لا ينطبق,BLOCKED_BY_PRODUCTION_SAFETY,17 حارس علم يردّ 404 لكلّ هؤلاء,20 موظّفًا يرون الرابط,BLOCKED,FAIL — FEATURE_FLAG_INCONSISTENCY
S-13,مدير,Manager,إدارته,فتح /app/attendance,جدول وقائع أو «لا توجد وقائع»,هيكل تحميل ثمّ (نظريًّا) بطاقة خطأ خلال ≈7ث — لا نتيجة قاطعة,غير مُلتقَط — يلزم مصادقة,BLOCKED_BY_PRODUCTION_SAFETY,Phase2__AttendanceEnabled غائب ⇒ false,attendance_incidents=0 · types=6,BLOCKED,FAIL — والحالة الفارغة مبنيّة فعلًا (:550-552) لكنّها لا تُبلَغ
S-14,مدير,Manager,إدارته,ديمومة هيكل التحميل بلا نهاية,انتقال قاطع إلى نتيجة,"لم يُثبَت — الكود يقتضي retry:3 بتراجع 1+2+4ث ثمّ QueryError",الدليل الناقص: HAR مصادَق من الإنتاج,الدليل الناقص: سجلّ وحدة تحكّم لجلسة حقيقيّة,لا خطأ خادميّ (NRestarts=0),لا ينطبق,BLOCKED,ROOT_CAUSE_NOT_PROVEN (BLOCKED_BY_PRODUCTION_SAFETY) — حكم الرحلة FAIL قائم بلا هذا الدليل
S-15,قائد فريق,TeamLeader,فريقه,تسجيل بلاغ حضور باختيار اسم الموظّف,منتقي أسماء محكوم بالنطاق,حقل نصّ حرّ «معرّف الموظّف» (GUID) بلا بحث ولا قائمة,لا ينطبق — لم يُنفَّذ أيّ إرسال (ممنوع),BLOCKED_BY_PRODUCTION_SAFETY,POST محكوم بالعلم أيضًا ⇒ 404,لم تُنشَأ أيّ واقعة — attendance_incidents=0 قبل وبعد,BLOCKED,FAIL — UX_WORKFLOW_DEFECT
S-16,مدير,Manager,إدارته,فتح شاشة KPI,الربع الجاري Q3-2026 تلقائيًّا,"تفتح على الدورة الأسبوعيّة الجارية — KpiPage.tsx:125,254-258",غير مُلتقَط,BLOCKED_BY_PRODUCTION_SAFETY,لا حارس علم على KPI (السطح يعمل),77 تقييمًا كلّها Weekly · W27–W35,BLOCKED,FAIL — REQUIREMENT_MISINTERPRETATION
S-17,مدير,Manager,موظّف بعينه,قراءة النظام لتواتر تقييم الموظّف من إعداداته,تواتر لكلّ موظّف,"مُثبَّت في الكود على WeeklyPulse — KpiPage.tsx:122,146 (وسابقة ReportCadencePolicy لا يستدعيها KPI)",لا ينطبق,BLOCKED_BY_PRODUCTION_SAFETY,—,لا عمودَي Year/Quarter في kpi_evaluations,BLOCKED,FAIL — MISSING_IMPLEMENTATION
S-18,مدير مالي,FinanceManager,عامّ,استخراج التصدير الماليّ لـQ3-2026,صفّ واحد لكلّ موظّف,صفّ لكلّ تقييم معتمد,لم يُنفَّذ نداء مصادَق (ممنوع),BLOCKED_BY_PRODUCTION_SAFETY,GetFinanceExportAsync بلا GroupBy,"CURRENT=44 صفًّا · TARGET=14 صفًّا · تضخّم 3.14 ضعفًا (SELECT مكافئ للاستعلام)",BLOCKED,FAIL — PARTIAL_IMPLEMENTATION مُثبَت بالقياس على بيانات حيّة
S-19,مدير مالي,FinanceManager,عامّ,وجود الحقول الستّة عشر المجمَّعة في المخرَج,تغطية ونواقص ودرجة مجمَّعة,لا حقل واحد منها في KpiFinanceExportRowDto,لا ينطبق,BLOCKED_BY_PRODUCTION_SAFETY,KpiModels.cs:286-312,—,لا ينطبق,FAIL — MISSING_IMPLEMENTATION
S-20,مالك المنتج,Admin/GM,عامّ,أيّ سطح محكوم بـperm,وصول وفق الصلاحيّة الممنوحة,لا وصول — لا منح إطلاقًا,لا ينطبق,BLOCKED_BY_PRODUCTION_SAFETY,RequireClaim منشورة وفعّالة,AspNetUserClaims(perm)=0 · AspNetRoleClaims(perm)=0,لا ينطبق,FAIL — PERMISSION_MODEL_GAP
S-21,النظام,—,عامّ,التحقّق من عدم إحداث أيّ أثر أثناء التشخيص,صفر كتابة وصفر إعادة تشغيل,"MainPID=1603719 وNRestarts=0 ثابتان · الهجرات 47 · perm=0/0 · attendance_incidents=0",لا نداء كتابة,لا ينطبق,systemctl قبل وبعد,SELECT حصرًا,لا ينطبق,PASS — سلامة الجولة مؤكَّدة
