ScenarioID,الوصف,المتوقَّع,المقيس,الحالة,الدليل,CandidateSHA,البيئة
S-AUTH-rc-admin,تسجيل دخول rc-admin,200 + accessToken,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ME-rc-admin,/auth/me لـrc-admin,200 + الأدوار,HTTP 200 | roles=['Admin'],PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-AUTH-rc-hr,تسجيل دخول rc-hr,200 + accessToken,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ME-rc-hr,/auth/me لـrc-hr,200 + الأدوار,HTTP 200 | roles=['HR'],PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-AUTH-rc-mgr,تسجيل دخول rc-mgr,200 + accessToken,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ME-rc-mgr,/auth/me لـrc-mgr,200 + الأدوار,HTTP 200 | roles=['Manager'],PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-AUTH-rc-emp,تسجيل دخول rc-emp,200 + accessToken,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ME-rc-emp,/auth/me لـrc-emp,200 + الأدوار,HTTP 200 | roles=['Employee'],PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-AUTH-rc-other,تسجيل دخول rc-other,200 + accessToken,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ME-rc-other,/auth/me لـrc-other,200 + الأدوار,HTTP 200 | roles=['Employee'],PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
