Layer,ScenarioId,Actor,Action,Expected,Observed,Result,Note
API,UAT-P123R-SEC-NO-IMPLICIT-PERM,ALL-13,تصفير شامل ثمّ قراءة perm للثلاثة عشر,قائمة فارغة للجميع بمن فيهم Admin,200,PASS,leaks={}
API,UAT-P123R-PERM-GRANT-PATH,adm,منح أربعة مفاتيح لـhr عبر مسار المنتَج,200 والمفاتيح مُعادة,200,PASS,
API,UAT-P123R-PERM-READ-BACK,adm,قراءة المفاتيح بعد المنح,200 ونفس المفاتيح,200,PASS,
API,UAT-P123R-PERM-IN-JWT,hr,المفاتيح في /auth/me بعد تجديد الرمز,الأربعة نفسها,200,PASS,"perms=['Attendance.Escalate', 'Attendance.Review', 'HrOperations.Export', 'HrOperations.View']"
API,UAT-P123R-PERM-SELF-GRANT-DENIED,outsider,محاولة منح النفس كلّ المفاتيح,403,403,PASS,
API,UAT-P123R-PERM-NO-DELEGATION,hr,حامل المفاتيح يفوّضها لغيره,403 — لا تفويض متعدٍّ,403,PASS,
API,UAT-P123R-PERM-DENY-CONTROL,outsider,شاهد سالب: outsider بلا أيّ مفتاح,قائمة فارغة,200,PASS,
API,UAT-P2-PERM-ALLOW-API-HR-OPERATIONS-DASHBOARD,hr(+key),GET /hr-operations/dashboard,200 لحامل المفتاح,200,PASS,
API,UAT-P2-PERM-ALLOW-API-HR-OPERATIONS-DASHBOARD-DENY,outsider,GET /hr-operations/dashboard بلا مفتاح,403,403,PASS,
API,UAT-P2-PERM-ALLOW-API-HR-OPERATIONS-QUEUES-ATTENDANCE,hr(+key),GET /hr-operations/queues/attendance-awaiting-hr,200 لحامل المفتاح,200,PASS,
API,UAT-P2-PERM-ALLOW-API-HR-OPERATIONS-QUEUES-ATTENDANCE-DENY,outsider,GET /hr-operations/queues/attendance-awaiting-hr بلا مفتاح,403,403,PASS,
API,UAT-P2-PERM-ALLOW-API-HR-OPERATIONS-QUEUES-REPORTS,hr(+key),GET /hr-operations/queues/reports-missing/export,200 لحامل المفتاح,200,PASS,
API,UAT-P2-PERM-ALLOW-API-HR-OPERATIONS-QUEUES-REPORTS-DENY,outsider,GET /hr-operations/queues/reports-missing/export بلا مفتاح,403,403,PASS,
API,UAT-P2-PERM-ALLOW-API-OBLIGATIONS,hr(+key),GET /obligations,200 لحامل المفتاح,200,PASS,
API,UAT-P2-PERM-ALLOW-API-OBLIGATIONS-DENY,outsider,GET /obligations بلا مفتاح,403,403,PASS,
API,UAT-P123R-ATT-DRAFT-CREATED,leadA1,إنشاء مسودّة بلاغ على عضو الفريق,200/201 والحالة Draft,200,PASS,يوم الواقعة=2026-08-25
API,UAT-P123R-ATT-DUP-OPEN-GUARD,leadA1,بلاغ ثانٍ بنفس النوع والموظّف واليوم,409 برسالة عربيّة — لا ازدواج بلاغات مفتوحة,409,PASS,
API,UAT-P2-ATT-L1-DRAFT-HIDDEN,empFull,الموظّف موضوع البلاغ يقرأ المسودّة قبل إرسالها,404 — لا تُعرَض حالة سابقة للإرسال,404,PASS,DEF-P123-003
API,UAT-P123R-ATT-DRAFT-VISIBLE-TO-REPORTER,leadA1,المُبلِّغ يقرأ مسودّته,200 — الحجب على الموضوع لا على صاحب البلاغ,200,PASS,
API,UAT-P123R-ATT-DRAFT-DENIED-OUTSIDER,outsider,غريب عن النطاق يقرأ المسودّة,404 — لا 403 (لا يُفشى الوجود),404,PASS,
API,UAT-P123R-ATT-SUBMIT,leadA1,إرسال المسودّة,200 والحالة تغادر Draft,200,PASS,
API,UAT-P123R-ATT-VISIBLE-AFTER-SUBMIT,empFull,الموظّف يقرأ الواقعة بعد الإرسال,200 — الحجب مرتبط بالحالة لا بالشخص,200,PASS,برهان أنّ الإصلاح لم يكسر الرؤية المشروعة
API,UAT-P123R-ATT-ACK,empFull,إقرار الموظّف بالواقعة,200,200,PASS,
API,UAT-P123R-ATT-HR-CAN-SEE,hr(+key),حامل مفتاح المراجعة يرى الواقعة,200,200,PASS,
API,UAT-P2-ATT-RECONCILE-SUGGEST,hr(+key),قراءة اقتراحات المصالحة مع الإجازات,200 وقائمة اقتراحات (اقتراح لا منع),200,PASS,
API,UAT-P2-ATT-RECONCILE-SUGGEST-DENY,outsider,نفس النداء بلا مفتاح,404/403,404,PASS,
API,UAT-P2-ATT-HR-HR-REVIEW,hr(+key),قرار HR بالتأكيد (Confirm),200 وانتقال حالة مسجَّل,200,PASS,
API,UAT-P2-ATT-HR-HR-REVIEW-DENY,outsider,نفس القرار بلا مفتاح,403/404,404,PASS,
API,UAT-P2-ATT-HR-ESCALATE,hr(+key),تصعيد الواقعة إلى الحوكمة,200,200,PASS,
API,UAT-P2-ATT-HR-CLOSE,hr(+key),إغلاق الواقعة,200,200,PASS,
API,UAT-P123R-ATT-AUDIT-TRAIL,hr(+key),أثر التدقيق للسلسلة كاملة,200 وسلسلة أحداث غير فارغة,200,PASS,events=8
API,UAT-P123R-DIR-DEPT-CREATE,adm,إنشاء إدارة جديدة باسم فريد,200/201,200,PASS,
API,UAT-P1-DIR-DEPT-DUP-NAME,adm,إنشاء إدارة بنفس الاسم العربيّ ورمز مختلف,409 برسالة تفرّد عربيّة,409,PASS,DEF-P123-001
API,UAT-P1-DIR-DEPT-DUP-CODE,adm,إنشاء إدارة برمز مكرّر واسم مختلف,409 برسالة عربيّة — لا 500,409,PASS,DEF-P123-002
API,UAT-P123R-DIR-TEAM-CREATE,adm,إنشاء فريق جديد داخل الإدارة,200/201,200,PASS,
API,UAT-P1-DIR-TEAM-DUP-NAME,adm,إنشاء فريق بنفس الاسم داخل الإدارة نفسها,409 برسالة عربيّة,409,PASS,DEF-P123-001
API,UAT-P123R-DIR-TEAM-SAME-NAME-OTHER-DEPT,adm,نفس اسم الفريق تحت إدارة أخرى,200/201 — التفرّد مقيَّد بالإدارة لا عالميّ,200,PASS,برهان أنّ القيد لم يُشدَّد فوق ما تقتضيه القاعدة
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3565,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3565,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3565,PASS,
