المستخدم (الدور),المفتاح,ممنوح؟,نقطة النهاية,المتوقَّع,المقيس,الحالة,ScenarioID,CandidateSHA,البيئة
rc-admin (Admin),HrOperations.View,لا (منع افتراضيّ),GET /api/hr-operations/dashboard,403,HTTP 403,PASS,S-PERM-DENY-rc-admin,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-hr (HR),HrOperations.View,لا (منع افتراضيّ),GET /api/hr-operations/dashboard,403,HTTP 403,PASS,S-PERM-DENY-rc-hr,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-mgr (Manager),HrOperations.View,لا (منع افتراضيّ),GET /api/hr-operations/dashboard,403,HTTP 403,PASS,S-PERM-DENY-rc-mgr,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-emp (Employee),HrOperations.View,لا (منع افتراضيّ),GET /api/hr-operations/dashboard,403,HTTP 403,PASS,S-PERM-DENY-rc-emp,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-hr (HR),HrOperations.View + Attendance.Review,نعم — عبر PUT /api/directory/users/{id}/permissions,PUT .../permissions,200 + قراءة راجعة مطابقة,"HTTP 200 · readback=['Attendance.Review','HrOperations.View']",PASS,S-PERM-GRANT / S-PERM-READBACK,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-hr (HR),HrOperations.View,نعم (برمز قديم),GET /api/hr-operations/dashboard,403 — المطالبات داخل الرمز,HTTP 403,PASS,S-PERM-OLDTOKEN,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-hr (HR),HrOperations.View,نعم (بعد إعادة الدخول),GET /api/hr-operations/dashboard,200,HTTP 200,PASS,S-PERM-ALLOW,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-hr (HR),HrOperations.View,نعم,GET /api/hr-operations/queue,200,HTTP 200,PASS,S-PERM-QUEUE,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-hr (HR),HrOperations.Export,لا,GET /api/hr-operations/export,403 — فصل المفاتيح,HTTP 403,PASS,S-PERM-EXPORT-DENY,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-hr (HR),Attendance.Review,نعم,POST /api/attendance/{id}/hr-review,200 · Confirmed,HTTP 200 · status=Confirmed,PASS,S-ATT-HRREVIEW,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-emp (Employee),Attendance.Review,لا,POST /api/attendance/{id}/hr-review,403,HTTP 403,PASS,S-ATT-HRREVIEW-DENY,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-emp (Employee),HrOperations.View,لا,GET /api/hr-operations/dashboard,403,HTTP 403,PASS,S-PERM-UNAUTH,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-emp (Employee),EmployeeChecklist.Manage,لا,تحرير بند قائمة الالتزام,403,HTTP 403,PASS,S-CHK-MANAGE-DENY,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-emp (Employee),— (قراءة صلاحيّات الغير),لا,GET /api/directory/users/{id}/permissions,403,HTTP 403,PASS,S-PERM-READ-DENY,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
