DefectId,Title,Severity,Class,RootCause,Fix,FixCommit,RegressionTest,VerifiedOn,Status
DEF-P123-001,"تفرّد أسماء الإدارات والفرق غير مفروض على مستوى قاعدة البيانات — أسماء عربيّة مكرّرة تُقبَل",P2,عيب منتج,"لا فهرس فريد على departments.NameAr ولا على (teams.DepartmentId, teams.NameAr) — التحقّق كان تطبيقيًّا فقط وقابلًا للتسابق","هجرة إضافيّة بحتة تضيف فهرسَين فريدَين + حارس إقلاع يرفض التشغيل عند وجود تكرار سابق + ترجمة 23505 إلى 409 برسالة عربيّة",cc302ef+f31a51a,"DirectoryUniquenessTests (يفشل قبل وينجح بعد)","TEST — UAT-P1-DIR-DEPT-DUP-NAME / UAT-P1-DIR-TEAM-DUP-NAME = 409 عربيّة",مُغلَق
DEF-P123-002,"رمز إدارة مكرّر يُنتج 500 بدل 409",P2,عيب منتج,"استثناء PostgresException 23505 غير مُلتقَط في مسار إنشاء الإدارة فيتسرّب كخطأ خادم","التقاط 23505 وتحويله إلى ProblemDetails 409 برسالة عربيّة تُميّز الاسم عن الرمز",f31a51a,"DirectoryUniquenessTests.DuplicateCode_Returns409","TEST — UAT-P1-DIR-DEPT-DUP-CODE = 409 عربيّة (كان 500)",مُغلَق
DEF-P123-003,"صاحب واقعة الحضور يراها وهي ما تزال مسوّدة قبل الرفع",P3,عيب منتج,"مرشِّح الرؤية كان يمنح الوصول لـSubjectUserId دون اشتراط تجاوز الحالة مرحلة المسوّدة","حصر رؤية المسوّدة في المُبلِّغ وHR — الصاحب يحصل على 404 (لا 403) قبل الرفع، و200 بعده",8aba930,"AttendanceDraftVisibilityTests","TEST — UAT-P2-ATT-L1-DRAFT-HIDDEN: 404 قبل الرفع ثمّ 200 بعده",مُغلَق
DEF-P123-004,"نقاط النهاية المحميّة بمفاتيح دقيقة كانت محجوبة كلّيًّا — لا مسار منح ولا قراءة",P2,عيب منتج,"AppPermissions معرَّفة ومطبَّقة كسياسات لكنّ لا واجهة لمنحها؛ ولا دور يكتسبها ضمنًا (بما فيه Admin) ⟹ تسع سيناريوهات BLOCKED","مسار منح/سحب مفاتيح دقيقة عبر AspNetUserClaims بنوع perm، بضوابط: لا منح ذاتيّ (403)، لا تفويض من غير المالك (403)، والمفتاح ينتشر في JWT عند التجديد",f31a51a,"FineGrainedPermissionGrantTests (منح/قراءة/منع ذاتيّ/منع تفويض)","TEST — 4 نقاط نهاية × (سماح 200 لـhr + منع 403 لخارجيّ)",مُغلَق
DEF-P123-005,"استدعاء ملخّص الحوكمة يُطلَق لمن لا يملك مفتاحه فيُغرق الطرفيّة بـ403",P4,عيب منتج,"الواجهة تستدعي /governance/summary دون شرط على المفتاح","كبح الاستدعاء عند غياب المفتاح — لا نداء ولا خطأ طرفيّة",efa11c9,"GovernanceSummaryGating.test.tsx","TEST — UAT-P3-NAV-CONSOLE-CLEAN: لا سجلّات طرفيّة على 10 مسارات",مُغلَق
DEF-P123-006,"تمرير أفقيّ على مستوى الصفحة عند 390px",P3,عيب منتج,"البطاقة Card ترث min-width ضمنيًّا من محتواها داخل تخطيط شبكيّ/مرن","إضافة min-w-0 لرفع قيد min-width:auto عن أبناء التخطيط",72e39c1,"مشمول بمسح 372/372","TEST — لا فائض على 124 تحميل مسار × 3 عروض",مُغلَق
DEF-P123-007,"أسماء الإدارات فارغة في بيانات البذر فتتعذّر بوّابة حارس التفرّد",P4,عيب بيانات,"مولّد البذر لم يكن يولّد NameAr للإدارات","توليد أسماء إدارات في البذر",0ffaa8d,"مشمول بحارس الإقلاع","محلّيّ — الحارس يمرّ على قاعدة مبذورة نظيفة",مُغلَق
DEF-P123-008,"جدولا KPI يدفعان الصفحة كلّها إلى تمرير أفقيّ عند 390px (اكتُشِف أثناء إعادة UAT)",P3,عيب منتج,"جدول سبعة أعمدة عرضه الأدنى (min-content) 363px داخل بطاقة تتيح 353px؛ min-w-0 لازم لكنّه غير كافٍ لأنّ <table> لا ينكمش دون min-content أعمدته. المظهر متعلّق بالمحتوى لا بالدور: gov على /app/performance أعطى 399/390 بينما Admin مرّ لقِصَر سلاسله",d937788 (إصلاح),"حصر التمرير داخل الجدول بحاوية overflow-x-auto — وهي العُرف القياسيّ للجداول العريضة في المستودع",d937788,"KpiPage.overflow.test.tsx (يفشل قبل وينجح بعد) + حارس لا-فراغيّة إلزاميّ ببيانات طويلة عمدًا","TEST بعد نشر d937788 — 372/372 بلا فائض",مُغلَق
DEF-P123-009,"تصادم مفتاح فترة بين صنفَي اختبار على القاعدة المشتركة يُفشل تجميع SEO Rollup (اكتُشِف أثناء الانحدار)",P4,عيب أداة اختبار,"ProjectRepeatableGridTests.SeoRollup_Aggregation_Unchanged يؤكّد مساواةً دقيقة (10) على تجميع عالميّ داخل الفترة، ويستعمل Cycle(14) نفسه الذي يسلّم فيه ReportsTests.SeoRollup_GeneralManager قيمة 20 ⟹ 30. تصادم كامن قديم في الأساس، وآليّته مقيسة: القاعدة مشتركة ودائمة، فالجولة الأولى تترك خلفها تسليم الـ20 تحت Cycle(14) وتقرأ الجولة الثانية 30 ⟹ التوقيع الحتميّ «جولة أولى خضراء ثمّ ثانية حمراء على القاعدة نفسها». رُصِد هذا التوقيع مرّتين مستقلّتين: على المرشّح بقاعدة نظيفة ممهَّدة، وعلى التزام الأساس 9595c01 نفسه (2151/2151 ثمّ 2150/2151) ⟹ ليس انحرافًا أحدثته هذه التذكرة","إعطاء الاختبار مفتاح فترة حصريًّا Cycle(18) لا يستعمله أيّ اختبار آخر — المساواة الدقيقة بقيت كما هي بلا إضعاف",قيد الالتزام,"ProjectRepeatableGridTests (16/16 داخل الحزمة الكاملة)","محلّيّ — نجح على القاعدة الملوَّثة نفسها التي أنتجت الفشل",مُغلَق
DEF-P123-010,"اختبار العبث بتوقيع الرمز يرفرف نادرًا ويعطي 200 بدل 401 (اكتُشِف أثناء الانحدار)",P4,عيب أداة اختبار,"العبث كان يستبدل آخر محرفين من base64url؛ والمحرف الأخير في توقيع HS256 (32 بايتًا = 43 محرفًا) يحمل أربع بتّات معنويّة وبتّي حشو مُهمَلَين ⟹ اللواحق aY/aZ/ab تفكّ إلى البايتات نفسها فيبقى الرمز صالحًا. احتمال ≈3/4096 لكلّ تشغيل. ليس عيب منتج: لم يقع أيّ قبول لتوقيع مُغيَّر فعلًا","العبث ببايت في وسط التوقيع (معنويّ كلّه) + تأكيد صريح أنّ الرمز المعبوث به مغاير للأصل",قيد الالتزام,"SecurityPenetrationTests (36/36)","محلّيّ — 36/36 بعد الإصلاح",مُغلَق
DEF-P123-BLK-VITEST,"حزمة اختبارات الواجهة كانت محجوبة (Timeout waiting for worker)",P4,عيب أداة اختبار,"سلوك عمّال vitest في البيئة المحلّيّة — لا علاقة له بالمنتج","تشغيل بالمُبلِّغ الافتراضيّ",—,"—","محلّيّ — 62 ملفًّا / 735 اختبارًا خضراء",مُغلَق
