RequirementID,النتيجة التشغيليّة المطلوبة,الدور المستفيد,المصدر المعتمد,التنفيذ الحاليّ على الإنتاج,الدليل,الفجوة
BO-01,الوصول إلى دليل واضح للموظّفين الواقعين داخل نطاق المستخدم,TeamLeader / Manager / HR / GM,"تكليف P123-BUSINESS-OUTCOME-DIAGNOSTIC-R1 §1 (البند 1) — SOURCE_NOT_LOCATED في Docs/ : لا ملفّ md واحد يذكر Phase2 أو P2-EMP، والمرجع الأعمّ Docs/BRD Master/Chapter_02 وChapter_05 (docx)",غير منفَّذ إطلاقًا — /api/employees يردّ 404 ولا مسار قائمة في EmployeesController,evidence/production-http-anonymous-probes.txt + evidence/code-evidence-pinned-897c9b18.txt [3],MISSING_IMPLEMENTATION — الفجوة موثَّقة ذاتيًّا في navConfig.ts:161-163
BO-02,البحث عن الموظّف بالاسم أو الفريق أو الإدارة,TeamLeader / Manager / HR / GM,تكليف §1 (البند 2),غير متاح — لا سطح دليل؛ /api/directory/users قائم (401) لكن لا يستهلكه أيّ سطح تصفّح,evidence/production-http-anonymous-probes.txt,MISSING_IMPLEMENTATION — المكوّنات الخادميّة جاهزة والتركيب مفقود
BO-03,فتح ملفّ الموظّف دون معرفة رابطه أو معرّفه التقنيّ,TeamLeader / Manager / HR / GM,تكليف §1 (البند 3),غير متاح — لا نقطة دخول إلّا كتابة العنوان يدويًّا بمعرّف GUID,evidence/code-evidence-pinned-897c9b18.txt [3] + navConfig.ts:164,MISSING_IMPLEMENTATION + UX_WORKFLOW_DEFECT
BO-04,رؤية صورة متكاملة عن الموظّف في مكان واحد,TeamLeader / Manager / HR / GM,تكليف §1 (البند 4) + P123-PROD-20260826 (نطاق النشر),محجوب كلّيًّا — /api/employees/{id}/profile-360 يردّ 404 بحارس EmployeesController.cs:45,evidence/phase2-flags-three-environments.txt + evidence/code-evidence-pinned-897c9b18.txt [2],DEPLOYMENT_CONFIGURATION_GAP — العلم غائب عن env وappsettings ⇒ false
BO-05,معرفة الأداء والتقارير والالتزام والإجازات والاستئذانات والأرصدة والملاحظات والإجراءات الإداريّة,TeamLeader / Manager / HR / GM,تكليف §1 (البند 5) + تكليف §المشكلة الثالثة (19 قسمًا),11 قسمًا منفَّذًا (خادم وواجهة متطابقان) من 19 مطلوبًا — وكلّها محجوبة بالعلم على الإنتاج,evidence/code-evidence-pinned-897c9b18.txt [5] + P123-FUNCTIONAL-GAP-REGISTER.csv,DEPLOYMENT_CONFIGURATION_GAP (15 قسمًا) + MISSING_IMPLEMENTATION (3) + PARTIAL_IMPLEMENTATION (1)
BO-06,تسجيل بلاغ حضور على موظّف من النطاق باختيار اسمه لا بكتابة GUID,TeamLeader / Manager / HR,تكليف §1 (البند 6) + §المشكلة الخامسة,حقل نصّ حرّ «معرّف الموظّف» في AttendancePage.tsx:101-108 — بلا بحث ولا قائمة ولا تحقّق,evidence/attendance-loading-analysis.txt [د],UX_WORKFLOW_DEFECT + PARTIAL_IMPLEMENTATION — الحقل المجاور (نوع الواقعة) يستعمل Select بالفعل
BO-07,فتح شاشة الحضور والوصول إلى نتيجة قاطعة سواء وُجدت بيانات أم لا,كلّ المستخدمين المخوّلين,تكليف §1 (البند 7) + §المشكلة الرابعة (قاعدة القبول),السطح مطفأ — 17 حارس علم في AttendanceController يردّ 404؛ والحالات (تحميل/خطأ/فارغ) مبنيّة فعلًا في AttendancePage.tsx:546-552 لكنّها لا تُبلَغ,evidence/attendance-loading-analysis.txt + evidence/production-database-readonly.txt (attendance_incidents=0),FEATURE_FLAG_INCONSISTENCY + DEPLOYMENT_CONFIGURATION_GAP · ديمومة الهيكل ROOT_CAUSE_NOT_PROVEN
BO-08,فتح KPI ورؤية الربع الجاري تلقائيًّا مع قراءة تواتر تقييم كلّ موظّف من إعداداته,Manager / GM / HR / FinanceManager,تكليف §1 (البند 8) + §المشكلة السادسة,"الشاشة تفتح على الدورة الأسبوعيّة (KpiPage.tsx:125,254-258) والتواتر مُثبَّت في الكود WeeklyPulse (:122,146) — وسابقة التواتر القائمة ReportCadencePolicy لا يستدعيها KPI",evidence/production-database-readonly.txt (77 تقييمًا كلّها Weekly · لا عمودَي Year/Quarter),REQUIREMENT_MISINTERPRETATION — دمج Reporting Window مع Evaluation Cadence
BO-09,استخراج مخرَج ماليّ مجمَّع قابل للاستعمال — موظّف واحد × ربع واحد = صفّ واحد,FinanceManager / Accountant,تكليف §1 (البند 9) + §المشكلة السابعة (16 حقلًا),عقد خام: KpiFinanceExportRowDto مفتاحه EvaluationId؛ GetFinanceExportAsync يُسقِط بلا GroupBy ولا يستدعي GetAggregateAsync القائمة,evidence/finance-export-gap-measurement.txt (44 صفًّا مقابل 14 مستهدَفًا),PARTIAL_IMPLEMENTATION + WRONG_ACCEPTANCE_CRITERIA + PRODUCT_DECISION_REQUIRED (لا معادلة معتمدة)
GOV-01,نموذج صلاحيّات فعّال يحكم رؤية كلّ سطح,كلّ الأدوار,قاعدة deny-by-default المعتمدة في P123-PROD-20260826,لا منح إطلاقًا — AspNetUserClaims(perm)=0 وAspNetRoleClaims(perm)=0,evidence/production-database-readonly.txt,PERMISSION_MODEL_GAP + PRODUCT_DECISION_REQUIRED — ملكيّة الصلاحيّات مؤجَّلة لمالك المنتج
