EID,الملفّ,النوع,ما يُثبته,طريقة الالتقاط,البيئة,أثر على البيئة,الحجم (بايت),md5,البنود المرتبطة
E-01,evidence/baseline-production-readonly.txt,دليل خام,حالة خدمة الإنتاج ثابتة قبل وبعد التشخيص: MainPID=1603719 · NRestarts=0 · active/running · بصمة Reporting.Api.dll · /health=200 في 1.7 مللي ثانية,systemctl show + md5 + curl عبر SSH,PRODUCTION,صفر (قراءة فقط),597,0c9f5f846bf380cdfe3bc32e2e53d584,S-01 · S-21
E-02,evidence/phase2-flags-three-environments.txt,دليل خام — قاطع,الأعلام الأربعة Phase2__* غائبة كلّيًّا عن /etc/reporting-api.env وعن /opt/reporting/publish/appsettings.json على الإنتاج (0 مفتاح) بينما هي =true على TEST وعلى RC,grep على ملفّات الإعداد في البيئات الثلاث,PRODUCTION + TEST + RC,صفر (قراءة فقط),1339,dc0aed5f4b4648fbfa9272d717b99d6c,RC-01 · RC-04 · RC-06 · RC-07 · RC-19 · GAP-360-* · S-07 · S-13
E-03,evidence/production-database-readonly.txt,دليل خام,عدّادات الإنتاج: 34 مستخدمًا (33 نشطًا) · 4 إدارات · 9 فرق · attendance_incidents=0 · types=6 · kpi_evaluations=83 · perm_claims_user=0 · perm_claims_role=0 · 47 هجرة · توزيع الأدوار الأحد عشر · أعمدة kpi_evaluations بلا Year/Quarter,psql SELECT حصرًا على reporting_prod,PRODUCTION,صفر (SELECT فقط · لا كتابة),1272,81959e3802c0ef7c54835152ca7437d0,RC-10 · RC-14 · RC-18 · S-20 · S-21 · GAP-KPI-03
E-04,evidence/finance-export-gap-measurement.txt,دليل خام — قاطع,قياس فجوة التصدير الماليّ على بيانات Q3-2026 الحيّة: CURRENT=44 صفًّا · TARGET=14 · تضخّم 3.14× · 77 تقييمًا كلّها Weekly · 9 أسابيع W27–W35 · توزيع التغطية 0→7 1→3 2→4 3→3 6→4 · صفر موظّف بتغطية كاملة · 12 من 33 بلا أيّ تقييم,psql SELECT مكافئ لاستعلام التصدير,PRODUCTION,صفر (SELECT فقط),2302,9a7ae0dbe19ef5b76ed83cc2b7b1e3cf,RC-15 · RC-17 · DEC-01 · S-18 · GAP-FIN-*
E-05,evidence/production-http-anonymous-probes.txt,دليل خام,وجود/غياب الأسطح على الإنتاج بلا مصادقة: /health=200 · /api/attendance=401 · /api/employees=404 (لا نقطة دليل) · /api/feature-flags=404 و/api/features=404 (لا وسيلة للواجهة لمعرفة الأعلام) · /api/directory/users=401 · /api/kpi-evaluations/aggregate=401,curl مجهول (لا مصادقة · لا كتابة),PRODUCTION,صفر (GET فقط),1240,64c79c267515a3c1b139ade4d586c6c3,RC-03 · RC-08 · RC-21 · S-02..S-06
E-06,evidence/code-evidence-pinned-897c9b18.txt,دليل كود مثبَّت,سبعة أقسام مقيسة على شجرة الإنتاج نفسها مع إثبات HEAD=897c9b18… MATCH: [1] Phase2FeatureOptions بلا مُهيّئ bool مقابل مُهيّئ int · [2] 17 حارس علم في AttendanceController و5 في EmployeesController · [3] لا مسار قائمة موظّفين · [4] صفر إشارة أعلام في كامل الواجهة · [5] 11 قسمًا منفَّذًا + الاعتماد المتشعّب على AttendanceEnabled · [6] تفسير لقطة مالك المنتج · [7] رسالتا خطأ مختلفتان,Grep/Read على worktree مثبَّت على 897c9b18,مستودع محلّيّ,صفر (قراءة فقط · لا تعديل),5318,a60f52eeb8e2fb4ec3b9c4a343925301,RC-01..RC-08 · RC-21 · GAP-360-*
E-07,evidence/attendance-loading-analysis.txt,تحليل كود مقتبَس حرفيًّا,سلسلة تحميل الحضور: [أ] new QueryClient() بلا إعداد + react-query ^5.101.0 (retry:3 بتراجع 1+2+4ث) · [ب] useAttendanceIncidents بلا enabled ولا retry ولا timeout · [ج] TableSkeleton/QueryError/EmptyState مبنيّة فعلًا · [د] حقل «معرّف الموظّف» نصّ حرّ بجوار Select · [هـ] بوّابات navConfig الثلاث المستقلّة والتعليق الموثّق ذاتيًّا · [و] الاعتراض على 401 حصرًا,Read بأسطر مثبَّتة على 897c9b18,مستودع محلّيّ,صفر (قراءة فقط),5939,ac92bb8e77e6dafd8a1e079247d31285,RC-02 · RC-03 · RC-08 · RC-09 · RC-11 · S-12 · S-14 · S-15
E-08,(بلا ملفّ منفصل — القياس مضمَّن هنا),دليل كود مثبَّت,سابقة تواتر قائمة في مجال التقارير لا في KPI: ReportCadencePolicy.cs:10;16 (ExpectedCadence مشتقّة من jobRoleCode) وReportTemplate.cs:12 (DefaultPeriodType=Weekly) وReportCalendarModels.cs:14 وExpectedSubmissionStatusResolver.cs:59 وReportingService.cs:480 — وKPI لا يستدعي أيًّا منها. ⇒ R5 تُعيد استعمال السابقة لا تخترع آليّة؛ والفارق أنّ السابقة على مستوى المسمّى الوظيفيّ لا الموظّف الفرديّ,Grep مثبَّت على worktree 897c9b18,مستودع محلّيّ,صفر (قراءة فقط),لا ينطبق,لا ينطبق,RC-13 · DEC-01 (بند 9) · R5
E-09,Ops/P2-EMPLOYEE360-HR-OPERATIONS-IMPLEMENTATION-REPORT-20260825.md + Ops/P3-NAVIGATION-FINAL-LOCAL-RELEASE-READINESS-REPORT-20260825.md (مثبَّتان على 897c9b18),وثيقة مشروع قائمة — قاطعة,**الدليل الذي صحّح تفسير المشكلة الجذريّة.** P3-…:459 «لا يوجد قسم Phase2 في appsettings.json ⇒ الافتراضيّ لكلّ منها false في كلّ بيئة ما لم يُضبَط صراحةً» · :463-466 جدول أثر الإطفاء لكلّ علم · :468 «تفعيلها كان داخل مصنع الاختبار المعزول حصرًا ولم يُفعَّل أيّ علم في أيّ بيئة مشتركة» · P2-…:106;315 «كلّها false افتراضيًّا · رفع العلم ليس تفويضًا» · P2-…:417-420 قائمة «مؤجَّل إلى المرحلة الثالثة حصرًا» وفيها إسناد المفاتيح الثمانية (=DEC-02) ورفع أعلام Phase2 (=E0) · P2-…:412;424 نطاق دور Hr كقرار منتج مستقلّ (=DEC-03) ⇒ **الإطفاء قرار مقصود موثَّق لا سهو نشر؛ والفجوة فجوة توقّع**,Grep ثمّ Read بأسطر مثبَّتة,مستودع محلّيّ,صفر (قراءة فقط),لا ينطبق,لا ينطبق,RC-22 · RC-20 · RC-01 · RC-18 · TRC-01 · D0 · E0 · DEC-02 · DEC-03
E-10,(بلا ملفّ منفصل — القياس مضمَّن هنا),دليل كود مثبَّت — تصويب بالإيجاب,**التحقّق الخادميّ لنطاق إنشاء بلاغ الحضور قائم وسليم**، خلافًا لافتراض أوّليّ في خطّة R4. AttendanceService.cs:157-199 على 897c9b18: :160 حارس العلم · :162 BuildContextAsync على request.SubjectUserId بصلاحيّة attendance.create · :166-167 رفض البلاغ على النفس بـ403 مع تعليل موثَّق في الكود · :170-171 AttendanceAccess.CanReport ⇒ 404 موحَّد لخارج النطاق وللموظّف غير الموجود (عدم إفشاء) · :174-180 مفتاح تكرار يمنع بلاغًا ثانيًا · :182-194 تحقّق من النوع والازدواج. ⇒ R4 حزمة واجهة خالصة؛ الاختبار السلبيّ يصبح حارس انحدار لا بناءً جديدًا,Grep ثمّ Read بأسطر مثبَّتة على 897c9b18,مستودع محلّيّ,صفر (قراءة فقط),لا ينطبق,لا ينطبق,RC-11 · R4 · S-15
E-11,(بلا ملفّ منفصل — القياس مضمَّن هنا),دليل وثائقيّ مثبَّت — تصويب رابع,**مصدر المتطلّبات مرقَّم ومحلول بالكامل**، خلافًا للتحفّظ المتبقّي في TRC-01/RC-20. Ops/P2-EMPLOYEE360-HR-OPERATIONS-IMPLEMENTATION-REPORT-20260825.md على 897c9b18: :30-40 طابور تنفيذ من 11 بندًا مرقَّمًا (P2-SEC-001…P2-SEC-011) كلّها COMPLETED · :79-106 مواصفة P2-EMP-002 كاملة بالتزام 72bb2e1 وجدول السطح · :91 تسمية الأقسام الأحد عشر · :105 يحلّ §9. تحقّق ثلاثيّ المطابقة: :91 = types/employee360.ts:69-81 = Employee360Service.cs:88-98 بالاسم والترتيب. وسطور مطلبيّة مبنيّة فعلًا: :100 عزل فشل القسم بلا إسقاط الصفحة · :102 إعلان Unavailable بسبب عربيّ صريح · :103 فصل النافذة الربعيّة عن الأسبوعيّة عبر IPeriodService. ⇒ لا فجوة تتبّع حرفيّة؛ الفجوة نوعيّة: الطابور يقيس إتمام التنفيذ لا تحقّق النتيجة التجاريّة,Grep ثمّ Read بأسطر مثبَّتة على 897c9b18,مستودع محلّيّ,صفر (قراءة فقط),لا ينطبق,لا ينطبق,TRC-01 · RC-20 · RC-22 · RC-13 · DEC-01/9 · GAP أقسام 360
D-01,P123-BUSINESS-OUTCOME-DIAGNOSTIC-REPORT.md,مخرَج حاكم,التقرير الرئيس: ملخّص تنفيذيّ لمالك المنتج يجيب الأسئلة الستّة · المنهج وتصحيح خطأ الشجرة البائتة · الخطّ الأساسيّ المقيس · تشخيص المشكلات السبع بسلاسل إثبات · السبب الجذريّ المشترك · تأكيدات الحوكمة,تحرير,لا ينطبق,لا ينطبق,48645,c4a20879d9a7f88e63d723cadebe4f48,كلّ البنود
D-02,P123-BUSINESS-REQUIREMENTS-TRACEABILITY.csv,مخرَج,تتبّع 13 متطلَّبًا: BO-01..BO-09 (النتائج التشغيليّة التسع) + GOV-01..GOV-03 + TRC-01 (صُحِّح: المصدر موجود في Ops/ لا في Docs/ — الفجوة فهرسة وربط لا غياب),تحرير مبنيّ على E-01..E-09,لا ينطبق,لا ينطبق,8342,dd7805bc8ece78ca30d6165bd2978f49,BO-01..BO-09 · TRC-01
