EvidenceId,Phase,Type,Path,WhatItProves
EV-01,C-D,تقرير إصلاح,Ops/UAT/P123-REMEDIATION-20260826/P123-FIX-EVIDENCE-C-D-20260826.md,"هجرة التفرّد + حارس الإقلاع + ترجمة 23505 إلى 409 عربيّة (DEF-P123-001/002)"
EV-02,E,تقرير إصلاح,Ops/UAT/P123-REMEDIATION-20260826/P123-FIX-EVIDENCE-E-20260826.md,"مسار منح المفاتيح الدقيقة وضوابطه — لا منح ذاتيّ ولا تفويض (DEF-P123-004)"
EV-03,F,تقرير إصلاح,Ops/UAT/P123-REMEDIATION-20260826/P123-FIX-EVIDENCE-F-20260826.md,"إخفاء مسوّدة واقعة الحضور عن صاحبها بـ404 قبل الرفع (DEF-P123-003)"
EV-04,G,تقرير إصلاح,Ops/UAT/P123-REMEDIATION-20260826/P123-FIX-EVIDENCE-G-20260826.md,"min-w-0 وكبح نداء ملخّص الحوكمة (DEF-P123-005/006)"
EV-05,H,تقرير إصلاح,Ops/UAT/P123-REMEDIATION-20260826/P123-FIX-EVIDENCE-H-20260826.md,"رفع حجب حزمة الواجهة وتشغيلها كاملة"
EV-06,B,فحص بيانات قبليّ,Ops/UAT/P123-REMEDIATION-20260826/P123-MIGRATION-DATA-PREFLIGHT-20260826.md,"لا تكرار قائمًا يمنع فرض الفهارس الفريدة — الهجرة آمنة إضافيًّا"
EV-07,E,مصفوفة صلاحيّات,Ops/UAT/P123-REMEDIATION-20260826/P123-PERMISSION-MATRIX-20260826.csv,"مصفوفة الفاعلين × المفاتيح × نقاط النهاية مع السماح/المنع المتوقَّع والمقيس"
EV-08,I,دليل نشر TEST,Ops/UAT/P123-REMEDIATION-20260826/P123-TEST-DEPLOY-EVIDENCE-I-20260826.md,"نسخة احتياطيّة ثلاثيّة + بصمات md5 + رقم المراجعة المضمَّن + إثبات عدم مسّ RC/الإنتاج"
EV-09,J,مصفوفة إعادة UAT,Ops/UAT/P123-REMEDIATION-20260826/P123-REUAT-SCENARIO-MATRIX-20260826.csv,"409 سطرًا: 37 سيناريو API + 372 قياس واجهة (13 فاعلًا × 124 تحميل مسار × 3 عروض) — كلّها PASS"
EV-10,J,سجلّ عيوب,Ops/UAT/P123-REMEDIATION-20260826/P123-REUAT-DEFECT-REGISTER-20260826.csv,"ثمانية عيوب منتج + عيب بيانات + عيب أداة اختبار، بسببها الجذريّ والتزامها واختبار انحدارها"
EV-11,J,نتائج API خام,Ops/UAT/P123-REMEDIATION-20260826/results-api.json,"استجابة كلّ سيناريو API على TEST الحيّة (37/37 PASS)"
EV-12,J,نتائج المتصفّح خام,Ops/UAT/P123-REMEDIATION-20260826/browser-results.json,"scrollWidth/clientWidth/textLen لكلّ مسار وعرض لكلّ فاعل (372/372)"
EV-13,K,بصمة قاعدة TEST قبل,Ops/UAT/P123-REMEDIATION-20260826/snapshot-BEFORE.txt,"عدّ وبصمات md5 للسجلّات غير الاصطناعيّة قبل إعادة UAT"
EV-14,K,بصمة قاعدة TEST بعد التنظيف,Ops/UAT/P123-REMEDIATION-20260826/snapshot-CLEANED.txt,"مطابقة حرفيّة لخطّ الأساس ⟹ لم تُمسّ أيّ بيانات غير اصطناعيّة"
EV-15,F-G,لقطات,Ops/UAT/P123-REMEDIATION-20260826/screenshots/,"لقطات بصريّة لمسارات وأدوار مختلفة قبل/بعد الإصلاح"
EV-16,K,انحدار — التزام الأساس,Ops/UAT/P123-REMEDIATION-20260826/integ-base.txt,"2151/2151 على 9595c01 بنفس الإجراء — به ثبت أنّ الانحراف جديد ووجب علاجه"
EV-17,K,انحدار — قبل علاج العزل,Ops/UAT/P123-REMEDIATION-20260826/integ-full3.txt,"الفشل الأمنيّ الظاهريّ في TamperedTokenSignature قبل DEF-P123-010"
EV-18,K,انحدار — نهائيّ,Ops/UAT/P123-REMEDIATION-20260826/integ-final.txt,"2174/2174 على المرشّح 8eb6389 بقواعد معزولة ممهَّدة"
EV-19,K,تقرير Word عربيّ,Ops/UAT/P123-REMEDIATION-20260826/P123-REMEDIATION-AND-REUAT-REPORT-AR.docx,"التقرير المصوَّر الكامل بترتيب من اليمين إلى اليسار"
EV-20,K,PDF مطابق,Ops/UAT/P123-REMEDIATION-20260826/P123-REMEDIATION-AND-REUAT-REPORT-AR.pdf,"نسخة مطابقة بصريًّا للتقرير — تحقّق بصريّ من صحّة عرض العربيّة"
EV-21,K,مذكّرة الإغلاق,Ops/UAT/P123-REMEDIATION-20260826/P123-REUAT-CLOSURE-NOTE-20260826.md,"بوّابة الحكم شرطًا شرطًا + ما لم يُفعَل عمدًا"
